subject,sessions,task_types,file_count,has_pre_post
sub-01,5,3,20,True
sub-02,5,3,22,True
sub-03,3,2,10,False
sub-04,5,3,20,True
sub-05,5,3,20,True
sub-06,3,2,12,False
sub-07,5,3,20,True
sub-08,3,2,10,False
sub-09,5,3,20,True
sub-10,5,3,20,True
sub-11,3,2,12,False
sub-12,5,3,21,True
sub-13,5,3,20,True
sub-14,5,3,20,True
sub-15,5,3,20,True
sub-16,3,3,12,True
sub-17,3,3,12,True
sub-18,3,3,12,True
sub-19,3,3,15,True
sub-20,3,3,12,True
sub-21,3,3,12,True
sub-22,3,3,12,True
sub-23,3,3,12,True
sub-24,3,3,12,True
sub-25,5,3,20,True
sub-26,3,3,9,True
sub-27,3,3,12,True
