subject_id,n_sessions,n_task_types,n_files,all_files_complete
sub-01,5,3,20,False
sub-02,5,3,22,False
sub-03,3,2,10,False
sub-04,5,3,20,False
sub-05,5,3,20,False
sub-06,3,2,12,False
sub-07,5,3,20,False
sub-08,3,2,10,False
sub-09,5,3,20,False
sub-10,5,3,20,False
sub-11,3,2,12,False
sub-12,5,3,21,False
sub-13,5,3,20,False
sub-14,5,3,20,False
sub-15,5,3,20,False
sub-16,3,3,12,False
sub-17,3,3,12,False
sub-18,3,3,12,False
sub-19,3,3,15,False
sub-20,3,3,12,False
sub-21,3,3,12,False
sub-22,3,3,12,False
sub-23,3,3,12,False
sub-24,3,3,12,False
sub-25,5,3,20,False
sub-26,3,3,9,False
sub-27,3,3,12,False
